127.0.0.1 - - [27/Dec/2020:16:39:30 +0900] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:39:31 +0900] "GET /final/ HTTP/1.1" 200 41616
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:39:31 +0900] "GET /final/display?fileName= HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:39:31 +0900] "GET /final/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:39:31 +0900] "GET /final/resources/js/bootstrap/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:39:31 +0900] "GET /final/resources/css/classy-nav.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:39:31 +0900] "GET /final/resources/js/jquery/jquery-2.2.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:39:31 +0900] "GET /final/resources/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:39:31 +0900] "GET /final/resources/css/nice-select.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:39:31 +0900] "GET /final/resources/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:39:31 +0900] "GET /final/resources/css/magnific-popup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:39:31 +0900] "GET /final/resources/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:39:31 +0900] "GET /final/resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:39:31 +0900] "GET /final/resources/js/bootstrap/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:39:31 +0900] "GET /final/resources/js/active.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:39:31 +0900] "GET /final/resources/img/core-img/toggler.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:39:31 +0900] "GET /final/resources/js/plugins/plugins.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:39:31 +0900] "GET /final/resources/img/core-img/x.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:39:31 +0900] "GET /final/resources/img/core-img/logo555.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:39:31 +0900] "GET /final/resources/img/bg-img/9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:39:31 +0900] "GET /final/resources/img/bg-img/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:39:31 +0900] "GET /final/resources/img/bg-img/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:39:31 +0900] "GET /final/resources/img/bg-img/10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:39:31 +0900] "GET /final/resources/img/bg-img/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:39:31 +0900] "GET /final/resources/img/bg-img/5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:39:31 +0900] "GET /final/resources/img/bg-img/11.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:39:31 +0900] "GET /final/resources/img/bg-img/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:39:31 +0900] "GET /final/resources/img/bg-img/add.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:39:31 +0900] "GET /final/resources/img/bg-img/6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:39:31 +0900] "GET /final/resources/img/bg-img/8.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Dec/2020:16:39:31 +0900] "GET /final/resources/img/bg-img/7.jpg HTTP/1.1" 304 -
